Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,5,0.0,15,,5,0,,,0.0
2020-02-16,5,0.0,15,0.0,5,0,,0.0,0.0
2020-02-17,5,0.0,15,0.0,5,0,,0.0,0.0
2020-02-18,5,0.0,15,0.0,5,0,,0.0,0.0
2020-02-19,5,0.0,15,0.0,5,0,,0.0,0.0
2020-02-20,6,0.0,17,2.0,6,0,0.0,1.0,0.0
2020-02-21,8,0.0,19,2.0,8,0,0.0,0.0,0.0
2020-02-22,10,0.0,21,2.0,10,0,0.0,0.0,0.0
2020-02-23,11,0.0,22,1.0,11,0,0.0,0.0,0.0
2020-02-24,11,0.0,22,0.0,11,0,0.0,0.0,0.0
2020-02-25,7,0.0,22,0.0,7,0,0.0,4.0,0.0
2020-02-26,8,0.0,23,1.0,8,0,0.0,0.0,0.0
2020-02-27,8,0.0,23,0.0,8,0,0.0,0.0,0.0
2020-02-28,10,0.0,25,2.0,10,0,0.0,0.0,0.0
2020-02-29,10,0.0,25,0.0,10,0,0.0,0.0,0.0
2020-03-01,13,6.25,29,4.0,13,1,1.0,0.0,6.25
2020-03-02,17,6.25,33,4.0,17,1,0.0,0.0,6.25
2020-03-03,17,4.55,39,6.0,17,1,0.0,6.0,4.55
2020-03-04,30,8.7,53,14.0,30,2,1.0,0.0,8.7
2020-03-05,36,8.33,60,7.0,36,2,0.0,1.0,8.33
2020-03-06,39,8.33,63,3.0,39,2,0.0,0.0,8.33
2020-03-07,49,12.0,74,11.0,49,3,1.0,0.0,12.0
2020-03-08,58,12.0,83,9.0,58,3,0.0,0.0,12.0
2020-03-09,68,12.0,93,10.0,68,3,0.0,0.0,12.0
2020-03-10,91,12.0,116,23.0,91,3,0.0,0.0,12.0
2020-03-11,101,11.11,128,12.0,101,3,0.0,2.0,11.11
2020-03-12,127,10.34,156,28.0,127,3,0.0,2.0,10.34
2020-03-13,170,10.34,199,43.0,170,3,0.0,0.0,10.34
2020-03-14,218,10.0,248,49.0,218,3,0.0,1.0,10.0
2020-03-15,268,15.63,300,52.0,268,5,2.0,0.0,15.63
2020-03-16,369,15.63,401,101.0,369,5,0.0,0.0,15.63
2020-03-17,423,15.63,455,54.0,423,5,0.0,0.0,15.63
2020-03-18,547,12.24,596,141.0,547,6,1.0,16.0,12.24
2020-03-19,703,13.21,756,160.0,703,7,1.0,3.0,13.21
