Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,0,0,0,,0,0,,0.0,0
2020-02-22,0,0,0,,0,0,,0.0,0
2020-02-23,0,0,0,,0,0,,0.0,0
2020-02-24,0,0,0,,0,0,,0.0,0
2020-02-25,2,nan,2,,2,0,,0.0,nan
2020-02-26,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-02-27,5,nan,5,3.0,5,0,0.0,0.0,nan
2020-02-28,7,nan,7,2.0,7,0,0.0,0.0,nan
2020-02-29,10,nan,10,3.0,10,0,0.0,0.0,nan
2020-03-01,14,nan,14,4.0,14,0,0.0,0.0,nan
2020-03-02,18,nan,18,4.0,18,0,0.0,0.0,nan
2020-03-03,24,nan,24,6.0,24,0,0.0,0.0,nan
2020-03-04,29,nan,29,5.0,29,0,0.0,0.0,nan
2020-03-05,41,0,43,14.0,41,0,0.0,2.0,0
2020-03-06,64,0,66,23.0,64,0,0.0,0.0,0
2020-03-07,79,0,81,15.0,79,0,0.0,0.0,0
2020-03-08,102,0,104,23.0,102,0,0.0,0.0,0
2020-03-09,129,0,131,27.0,129,0,0.0,0.0,0
2020-03-10,178,0,182,51.0,178,0,0.0,2.0,0
2020-03-11,242,0,246,64.0,242,0,0.0,0.0,0
2020-03-12,356,20,361,115.0,356,1,1.0,0.0,20
2020-03-13,497,14.29,504,143.0,497,1,0.0,2.0,14.29
2020-03-14,648,14.29,655,151.0,648,1,0.0,0.0,14.29
2020-03-15,853,14.29,860,205.0,853,1,0.0,0.0,14.29
2020-03-16,1007,27.27,1018,158.0,1007,3,2.0,2.0,27.27
2020-03-17,1319,30.77,1332,314.0,1319,4,1.0,1.0,30.77
2020-03-18,1633,30.77,1646,314.0,1633,4,0.0,0.0,30.77
2020-03-19,2164,40,2179,533.0,2164,6,2.0,0.0,40
2020-03-20,2634,40,2649,470.0,2634,6,0.0,0.0,40
2020-03-21,2975,47.06,2992,343.0,2975,8,2.0,0.0,47.06
2020-03-22,3557,64,3582,590.0,3557,16,8.0,0.0,64
2020-03-23,4444,70,4474,892.0,4444,21,5.0,0.0,70
2020-03-24,5246,75.68,5283,809.0,5246,28,7.0,0.0,75.68
2020-03-25,5548,77.5,5588,305.0,5548,31,3.0,0.0,77.5
2020-03-26,6748,30.43,6909,1321.0,6748,49,18.0,103.0,30.43
2020-03-27,7414,20.49,7697,788.0,7414,58,9.0,113.0,20.49
2020-03-28,7978,23.21,8271,574.0,7978,68,10.0,0.0,23.21
2020-03-29,8223,15.22,8788,517.0,8223,86,18.0,254.0,15.22
2020-03-30,8874,14.52,9618,830.0,8874,108,22.0,157.0,14.52
2020-03-31,8957,10.47,10180,562.0,8957,128,20.0,459.0,10.47
2020-04-01,9129,9.23,10711,531.0,9129,146,18.0,341.0,9.23
2020-04-02,9222,8.29,11129,418.0,9222,158,12.0,313.0,8.29
2020-04-03,9334,7.67,11524,395.0,9334,168,10.0,273.0,7.67
2020-04-04,9088,6.91,11781,257.0,9088,186,18.0,485.0,6.91
2020-04-05,8849,6.37,12051,270.0,8849,204,18.0,491.0,6.37
2020-04-06,8614,5.97,12297,246.0,8614,220,16.0,465.0,5.97
2020-04-07,8350,5.67,12639,342.0,8350,243,23.0,583.0,5.67
2020-04-08,8157,5.71,12942,303.0,8157,273,30.0,466.0,5.71
2020-04-09,7709,5.33,13244,302.0,7709,295,22.0,728.0,5.33
2020-04-10,7177,5,13560,316.0,7177,319,24.0,824.0,5
2020-04-11,6865,4.86,13806,246.0,6865,337,18.0,540.0,4.86
2020-04-12,6608,4.77,13945,139.0,6608,350,13.0,383.0,4.77
2020-04-13,6330,4.77,14041,96.0,6330,368,18.0,356.0,4.77
2020-04-14,6209,4.79,14226,185.0,6209,384,16.0,290.0,4.79
2020-04-15,5859,4.63,14350,124.0,5859,393,9.0,465.0,4.63
2020-04-16,5080,4.36,14476,126.0,5080,410,17.0,888.0,4.36
2020-04-17,4460,4.25,14595,119.0,4460,431,21.0,718.0,4.25
2020-04-18,4014,4.16,14671,76.0,4014,443,12.0,510.0,4.16
2020-04-19,3796,4.13,14749,78.0,3796,452,9.0,287.0,4.13
2020-04-20,3694,4.23,14795,46.0,3694,470,18.0,130.0,4.23
2020-04-21,3411,4.28,14873,78.0,3411,491,21.0,340.0,4.28
2020-04-22,3087,4.31,14925,52.0,3087,510,19.0,357.0,4.31
2020-04-23,2786,4.27,15002,77.0,2786,522,12.0,366.0,4.27
2020-04-24,2669,4.27,15071,69.0,2669,530,8.0,178.0,4.27
2020-04-25,2509,4.24,15148,77.0,2509,536,6.0,231.0,4.24
2020-04-26,2401,4.23,15225,77.0,2401,542,6.0,179.0,4.23
2020-04-27,2363,4.25,15274,49.0,2363,549,7.0,80.0,4.25
2020-04-28,2208,4.33,15357,83.0,2208,569,20.0,218.0,4.33
2020-04-29,2043,4.34,15402,45.0,2043,580,11.0,199.0,4.34
2020-04-30,1961,4.33,15452,50.0,1961,584,4.0,128.0,4.33
2020-05-01,1832,4.3,15531,79.0,1832,589,5.0,203.0,4.3
2020-05-02,1782,4.33,15558,27.0,1782,596,7.0,70.0,4.33
2020-05-03,1771,4.33,15597,39.0,1771,598,2.0,48.0,4.33
2020-05-04,1705,4.31,15621,24.0,1705,600,2.0,88.0,4.31
2020-05-05,1582,4.31,15650,29.0,1582,606,6.0,146.0,4.31
2020-05-06,1437,4.27,15684,34.0,1437,608,2.0,177.0,4.27
2020-05-07,1445,4.26,15752,68.0,1445,609,1.0,59.0,4.26
2020-05-08,1324,4.25,15774,22.0,1324,614,5.0,138.0,4.25
2020-05-09,1290,4.23,15833,59.0,1290,615,1.0,92.0,4.23
2020-05-10,1262,4.23,15871,38.0,1262,618,3.0,63.0,4.23
2020-05-11,1201,4.22,15882,11.0,1201,620,2.0,70.0,4.22
2020-05-12,1190,4.22,15961,79.0,1190,623,3.0,87.0,4.22
2020-05-13,1069,4.18,15997,36.0,1069,624,1.0,156.0,4.18
2020-05-14,1027,4.16,16058,61.0,1027,626,2.0,101.0,4.16
2020-05-15,1010,4.16,16109,51.0,1010,628,2.0,66.0,4.16
2020-05-16,1048,4.15,16201,92.0,1048,629,1.0,53.0,4.15
2020-05-17,1050,4.14,16242,41.0,1050,629,0.0,39.0,4.14
2020-05-18,1026,4.13,16269,27.0,1026,629,0.0,51.0,4.13
2020-05-19,1011,4.13,16321,52.0,1011,632,3.0,64.0,4.13
2020-05-20,838,4.08,16353,32.0,838,633,1.0,204.0,4.08
2020-05-21,820,4.06,16404,51.0,820,633,0.0,69.0,4.06
2020-05-22,796,4.06,16436,32.0,796,635,2.0,54.0,4.06
2020-05-23,810,4.08,16486,50.0,810,639,4.0,32.0,4.08
2020-05-24,800,4.08,16503,17.0,800,640,1.0,26.0,4.08
2020-05-25,760,4.06,16539,36.0,760,641,1.0,75.0,4.06
2020-05-26,732,4.06,16557,18.0,732,643,2.0,44.0,4.06
2020-05-27,718,4.06,16591,34.0,718,645,2.0,46.0,4.06
2020-05-28,674,4.19,16628,37.0,674,668,23.0,58.0,4.19
2020-05-29,640,4.17,16655,27.0,640,668,0.0,61.0,4.17
2020-05-30,497,4.13,16685,30.0,497,668,0.0,173.0,4.13
2020-05-31,470,4.11,16731,46.0,470,668,0.0,73.0,4.11
2020-06-01,469,4.11,16733,2.0,469,668,0.0,3.0,4.11
2020-06-02,461,4.1,16759,26.0,461,669,1.0,33.0,4.1
2020-06-03,429,4.1,16771,12.0,429,670,1.0,43.0,4.1
2020-06-04,418,4.09,16805,34.0,418,670,0.0,45.0,4.09
2020-06-05,429,4.09,16843,38.0,429,672,2.0,25.0,4.09
2020-06-06,437,4.08,16898,55.0,437,672,0.0,47.0,4.08
2020-06-07,437,4.08,16902,4.0,437,672,0.0,4.0,4.08
2020-06-08,457,4.07,16968,66.0,457,672,0.0,46.0,4.07
2020-06-09,432,4.06,16979,11.0,432,672,0.0,36.0,4.06
2020-06-10,422,4.06,17005,26.0,422,673,1.0,35.0,4.06
2020-06-11,411,4.05,17034,29.0,411,674,1.0,39.0,4.05
2020-06-12,404,4.05,17064,30.0,404,675,1.0,36.0,4.05
2020-06-13,389,4.06,17078,14.0,389,677,2.0,27.0,4.06
2020-06-14,373,4.05,17109,31.0,373,677,0.0,47.0,4.05
2020-06-15,391,4.05,17135,26.0,391,678,1.0,7.0,4.05
2020-06-16,419,4.06,17189,54.0,419,681,3.0,23.0,4.06
2020-06-17,417,4.09,17203,14.0,417,687,6.0,10.0,4.09
2020-06-18,434,4.1,17223,20.0,434,688,1.0,2.0,4.1
2020-06-19,442,4.09,17271,48.0,442,688,0.0,40.0,4.09
