Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,0,0,0,,0,0,,0.0,0
2020-02-22,0,0,0,,0,0,,0.0,0
2020-02-23,0,0,0,,0,0,,0.0,0
2020-02-24,0,0,0,,0,0,,0.0,0
2020-02-25,1,0,1,,1,0,,0.0,0
2020-02-26,1,nan,1,0.0,1,0,,0.0,nan
2020-02-27,1,nan,1,0.0,1,0,0.0,0.0,nan
2020-02-28,1,nan,1,0.0,1,0,0.0,0.0,nan
2020-02-29,2,nan,2,1.0,2,0,0.0,0.0,nan
2020-03-01,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-03-02,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-03-03,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-03-04,3,nan,3,1.0,3,0,0.0,0.0,nan
2020-03-05,8,nan,8,5.0,8,0,0.0,0.0,nan
2020-03-06,13,nan,13,5.0,13,0,0.0,0.0,nan
2020-03-07,19,nan,19,6.0,19,0,0.0,0.0,nan
2020-03-08,25,nan,25,6.0,25,0,0.0,0.0,nan
2020-03-09,25,nan,25,0.0,25,0,0.0,0.0,nan
2020-03-10,34,nan,34,9.0,34,0,0.0,0.0,nan
2020-03-11,52,nan,52,18.0,52,0,0.0,0.0,nan
2020-03-12,77,nan,77,25.0,77,0,0.0,0.0,nan
2020-03-13,150,0,151,74.0,150,0,0.0,1.0,0
2020-03-14,150,0,151,0.0,150,0,0.0,0.0,0
2020-03-15,198,0,200,49.0,198,0,0.0,1.0,0
2020-03-16,232,0,234,34.0,232,0,0.0,0.0,0
2020-03-17,343,33.33,346,112.0,343,1,1.0,0.0,33.33
2020-03-18,523,66.67,529,183.0,523,4,3.0,0.0,66.67
2020-03-19,631,77.78,640,111.0,631,7,3.0,0.0,77.78
2020-03-20,957,84.62,970,330.0,957,11,4.0,0.0,84.62
2020-03-21,1158,90,1178,208.0,1158,18,7.0,0.0,90
2020-03-22,1519,92.59,1546,368.0,1519,25,7.0,0.0,92.59
2020-03-23,1888,94.44,1924,378.0,1888,34,9.0,0.0,94.44
2020-03-24,2199,95.83,2247,323.0,2199,46,12.0,0.0,95.83
2020-03-25,2493,96.72,2554,307.0,2493,59,13.0,0.0,96.72
2020-03-26,2902,92.77,2985,431.0,2902,77,18.0,4.0,92.77
2020-03-27,3319,93.88,3417,432.0,3319,92,15.0,0.0,93.88
2020-03-28,3784,95,3904,487.0,3784,114,22.0,0.0,95
2020-03-29,4114,95.77,4256,352.0,4114,136,22.0,0.0,95.77
2020-03-30,4347,57.6,4630,374.0,4347,163,27.0,114.0,57.6
2020-03-31,5389,61.28,5717,1087.0,5389,201,38.0,7.0,61.28
2020-04-01,6511,65.58,6880,1163.0,6511,242,41.0,0.0,65.58
2020-04-02,7593,71.84,8044,1164.0,7593,324,82.0,0.0,71.84
2020-04-03,8704,74.08,9194,1150.0,8704,363,39.0,0.0,74.08
2020-04-04,9788,77.8,10360,1166.0,9788,445,82.0,0.0,77.8
2020-04-05,10641,79.28,11254,894.0,10641,486,41.0,0.0,79.28
2020-04-06,11492,81.62,12183,929.0,11492,564,78.0,0.0,81.62
2020-04-07,13221,84.38,14034,1851.0,13221,686,122.0,0.0,84.38
2020-04-08,15241,86.59,16188,2154.0,15241,820,134.0,0.0,86.59
2020-04-09,17018,84.65,18145,1957.0,17018,954,134.0,46.0,84.65
2020-04-10,18548,86.06,19789,1644.0,18548,1068,114.0,0.0,86.06
2020-04-11,19649,86.82,20962,1173.0,19649,1140,72.0,0.0,86.82
2020-04-12,20796,87.61,22192,1230.0,20796,1223,83.0,0.0,87.61
2020-04-13,21929,88.47,23430,1238.0,21929,1328,105.0,0.0,88.47
2020-04-14,9704,9.85,25262,1832.0,9704,1532,204.0,13853.0,9.85
2020-04-15,12827,11.13,28610,3348.0,12827,1757,225.0,0.0,11.13
2020-04-16,14710,12.19,30683,2073.0,14710,1947,190.0,0.0,12.19
2020-04-17,17515,13.24,33682,2999.0,17515,2141,194.0,0.0,13.24
2020-04-18,20335,14.41,36722,3040.0,20335,2361,220.0,0.0,14.41
2020-04-19,14062,10.01,38654,1932.0,14062,2462,101.0,8104.0,10.01
2020-04-20,16026,10.47,40743,2089.0,16026,2587,125.0,0.0,10.47
2020-04-21,16013,10.13,43079,2336.0,16013,2741,154.0,2195.0,10.13
2020-04-22,17533,10.3,45757,2678.0,17533,2906,165.0,993.0,10.3
2020-04-23,19606,11.09,49492,3735.0,19606,3313,407.0,1255.0,11.09
2020-04-24,21670,11.72,52995,3503.0,21670,3670,357.0,1082.0,11.72
2020-04-25,25991,12.18,59196,6201.0,25991,4045,375.0,1505.0,12.18
2020-04-26,28436,12.41,62859,3663.0,28436,4271,226.0,992.0,12.41
2020-04-27,30816,12.73,66501,3642.0,30816,4543,272.0,990.0,12.73
2020-04-28,35292,13.46,72899,6398.0,35292,5063,520.0,1402.0,13.46
2020-04-29,39718,13.9,79361,6462.0,39718,5511,448.0,1588.0,13.9
2020-04-30,43544,14.11,85380,6019.0,43544,5901,390.0,1803.0,14.11
2020-05-01,47660,14.42,92109,6729.0,47660,6410,509.0,2104.0,14.42
2020-05-02,48872,14.15,96559,4450.0,48872,6750,340.0,2898.0,14.15
2020-05-03,51131,14.05,101147,4588.0,51131,7025,275.0,2054.0,14.05
2020-05-04,55108,13.81,108266,7119.0,55108,7343,318.0,2824.0,13.81
2020-05-05,58573,14.11,114715,6449.0,58573,7921,578.0,2406.0,14.11
2020-05-06,66653,14.32,126611,11896.0,66653,8588,667.0,3149.0,14.32
2020-05-07,71155,14.24,135693,9082.0,71155,9188,600.0,3980.0,14.24
2020-05-08,76603,14.42,145892,10199.0,76603,9992,804.0,3947.0,14.42
2020-05-09,83720,14.73,156061,10169.0,83720,10656,664.0,2388.0,14.73
2020-05-10,86619,14.62,162699,6638.0,86619,11123,467.0,3272.0,14.62
2020-05-11,90134,14.71,169143,6444.0,90134,11625,502.0,2427.0,14.71
2020-05-12,92601,14.59,177602,8459.0,92601,12404,779.0,5213.0,14.59
2020-05-13,97575,14.37,189157,11555.0,97575,13158,754.0,5827.0,14.37
2020-05-14,109446,14.97,202918,13761.0,109446,13993,835.0,1055.0,14.97
2020-05-15,118436,14.85,218223,15305.0,118436,14817,824.0,5491.0,14.85
2020-05-16,127837,14.85,233142,14919.0,127837,15633,816.0,4702.0,14.85
2020-05-17,130840,14.62,241080,7938.0,130840,16118,485.0,4450.0,14.62
2020-05-18,138056,14.37,255368,14288.0,138056,16853,735.0,6337.0,14.37
2020-05-19,147108,14.41,271885,16517.0,147108,17983,1130.0,6335.0,14.41
2020-05-20,157780,13.94,293357,21472.0,157780,18894,911.0,9889.0,13.94
2020-05-21,164879,13.75,310921,17564.0,164879,20082,1188.0,9277.0,13.75
2020-05-22,174412,13.45,330890,19969.0,174412,21048,966.0,9470.0,13.45
2020-05-23,182798,13.37,347398,16508.0,182798,22013,965.0,7157.0,13.37
2020-05-24,190991,13.16,363618,16220.0,190991,22716,703.0,7324.0,13.16
2020-05-25,199314,13.26,376669,13051.0,199314,23522,806.0,3922.0,13.26
2020-05-26,209218,13.4,392360,15691.0,209218,24549,1027.0,4760.0,13.4
2020-05-27,222317,13.36,414661,22301.0,222317,25697,1148.0,8054.0,13.36
2020-05-28,218867,12.17,438812,24151.0,218867,26764,1067.0,26534.0,12.17
2020-05-29,247213,12.64,468338,29526.0,247213,27944,1180.0,0.0,12.64
2020-05-30,264235,12.31,498440,30102.0,264235,28834,890.0,12190.0,12.31
2020-05-31,278980,12.43,514849,16409.0,278980,29314,480.0,1184.0,12.43
2020-06-01,288279,12.46,529405,14556.0,288279,30046,732.0,4525.0,12.46
2020-06-02,284763,11.5,556668,27263.0,284763,31278,1232.0,29547.0,11.5
2020-06-03,285301,10.9,583980,27312.0,285301,32547,1269.0,25505.0,10.9
2020-06-04,306834,11.01,615870,31890.0,306834,34039,1492.0,8865.0,11.01
2020-06-05,322307,10.83,646006,30136.0,322307,35047,1008.0,13655.0,10.83
2020-06-06,335546,10.64,673587,27581.0,335546,35957,910.0,13432.0,10.64
2020-06-07,353379,10.78,691962,18375.0,353379,36499,542.0,0.0,10.78
2020-06-08,347973,10.28,710887,18925.0,347973,37312,813.0,23518.0,10.28
2020-06-09,377985,10.57,742084,31197.0,377985,38497,1185.0,0.0,10.57
2020-06-10,355087,9.47,775184,33100.0,355087,39797,1300.0,54698.0,9.47
2020-06-11,367899,9.38,805649,30465.0,367899,41058,1261.0,16392.0,9.38
2020-06-12,391309,9.55,829902,24253.0,391309,41901,843.0,0.0,9.55
