Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-01-22,554,,571,,554,17,,,
2020-01-23,771,,830,259.0,771,25,8.0,34.0,
2020-01-24,1208,,1287,457.0,1208,41,16.0,4.0,
2020-01-25,1870,,1975,688.0,1870,56,15.0,11.0,
2020-01-26,2613,,2744,769.0,2613,80,24.0,2.0,
2020-01-27,4349,,4515,1771.0,4349,106,26.0,9.0,
2020-01-28,5739,,5974,1459.0,5739,132,26.0,43.0,
2020-01-29,7417,,7711,1737.0,7417,170,38.0,21.0,
2020-01-30,9308,,9692,1981.0,9308,213,43.0,47.0,
2020-01-31,11289,,11791,2099.0,11289,259,46.0,72.0,
2020-02-01,13748,,14380,2589.0,13748,304,45.0,85.0,
2020-02-02,16369,43.18,17205,2825.0,16369,361,57.0,147.0,43.18
2020-02-03,19383,40.21,20440,3235.0,19383,425,64.0,157.0,40.21
2020-02-04,22942,35.46,24324,3884.0,22942,490,65.0,260.0,35.46
2020-02-05,26302,32.81,28018,3694.0,26302,563,73.0,261.0,32.81
2020-02-06,28985,29.23,31161,3143.0,28985,636,73.0,387.0,29.23
2020-02-07,31774,26.05,34546,3385.0,31774,722,86.0,510.0,26.05
2020-02-08,33738,23.44,37198,2652.0,33738,811,89.0,599.0,23.44
2020-02-09,35982,21.68,40171,2973.0,35982,908,97.0,632.0,21.68
2020-02-10,37626,20.27,42638,2467.0,37626,1016,108.0,715.0,20.27
2020-02-11,38791,18.99,44653,2015.0,38791,1113,97.0,753.0,18.99
2020-02-12,51591,17.56,58761,14108.0,51591,1259,146.0,1162.0,17.56
2020-02-13,55748,17.03,63851,5090.0,55748,1380,121.0,812.0,17.03
2020-02-14,56873,15.83,66492,2641.0,56873,1523,143.0,1373.0,15.83
2020-02-15,57416,15.02,68500,2008.0,57416,1665,142.0,1323.0,15.02
2020-02-16,57934,14.03,70548,2048.0,57934,1770,105.0,1425.0,14.03
2020-02-17,58016,12.95,72436,1888.0,58016,1868,98.0,1708.0,12.95
2020-02-18,57805,12.23,74185,1749.0,57805,2004,136.0,1824.0,12.23
2020-02-19,56301,11.59,74576,391.0,56301,2118,114.0,1781.0,11.59
2020-02-20,54921,10.88,75465,889.0,54921,2236,118.0,2151.0,10.88
2020-02-21,53284,10.19,76288,823.0,53284,2345,109.0,2351.0,10.19
2020-02-22,52093,9.83,76936,648.0,52093,2442,97.0,1742.0,9.83
2020-02-23,49824,9.49,77150,214.0,49824,2592,150.0,2333.0,9.49
2020-02-24,47765,8.91,77658,508.0,47765,2663,71.0,2496.0,8.91
2020-02-25,45600,8.36,78064,406.0,45600,2715,52.0,2519.0,8.36
2020-02-26,43258,7.79,78497,433.0,43258,2744,29.0,2746.0,7.79
2020-02-27,39919,7.17,78824,327.0,39919,2788,44.0,3622.0,7.17
2020-02-28,37414,6.78,79251,427.0,37414,2835,47.0,2885.0,6.78
2020-02-29,35129,6.42,79824,573.0,35129,2870,35.0,2823.0,6.42
2020-03-01,32616,6.14,80026,202.0,32616,2912,42.0,2673.0,6.14
2020-03-02,30004,5.87,80151,125.0,30004,2943,31.0,2706.0,5.87
2020-03-03,27423,5.64,80270,119.0,27423,2981,38.0,2662.0,5.64
2020-03-04,25353,5.47,80409,139.0,25353,3012,31.0,2178.0,5.47
2020-03-05,23784,5.36,80552,143.0,23784,3042,30.0,1682.0,5.36
2020-03-06,22179,5.25,80651,99.0,22179,3070,28.0,1676.0,5.25
2020-03-07,20533,5.15,80695,44.0,20533,3097,27.0,1663.0,5.15
2020-03-08,19016,5.05,80735,40.0,19016,3119,22.0,1535.0,5.05
2020-03-09,17721,4.98,80754,19.0,17721,3136,17.0,1297.0,4.98
2020-03-10,16136,4.89,80778,24.0,16136,3158,22.0,1587.0,4.89
2020-03-11,14831,4.8,80793,15.0,14831,3169,11.0,1309.0,4.8
2020-03-12,13524,4.72,80813,20.0,13524,3176,7.0,1320.0,4.72
2020-03-13,12088,4.64,80824,11.0,12088,3189,13.0,1434.0,4.64
2020-03-14,10733,4.56,80844,20.0,10733,3199,10.0,1365.0,4.56
2020-03-15,9893,4.53,80860,16.0,9893,3213,14.0,842.0,4.53
2020-03-16,8967,4.49,80881,21.0,8967,3226,13.0,934.0,4.49
2020-03-17,8056,4.44,80894,13.0,8056,3237,11.0,913.0,4.44
2020-03-18,7263,4.41,80928,34.0,7263,3245,8.0,819.0,4.41
2020-03-19,6569,4.37,80967,39.0,6569,3248,3.0,730.0,4.37
2020-03-20,6013,4.34,81008,41.0,6013,3255,7.0,590.0,4.34
2020-03-21,5353,4.31,81054,46.0,5353,3261,6.0,700.0,4.31
2020-03-22,5120,4.3,81093,39.0,5120,3270,9.0,263.0,4.3
2020-03-23,4735,4.29,81171,78.0,4735,3277,7.0,456.0,4.29
2020-03-24,4287,4.26,81218,47.0,4287,3281,4.0,491.0,4.26
2020-03-25,3947,4.25,81285,67.0,3947,3287,6.0,401.0,4.25
2020-03-26,3460,4.23,81340,55.0,3460,3292,5.0,537.0,4.23
2020-03-27,3128,4.21,81394,54.0,3128,3295,3.0,383.0,4.21
