Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,0,0,0,,0,0,,0.0,0
2020-02-22,0,0,0,,0,0,,0.0,0
2020-02-23,0,0,0,,0,0,,0.0,0
2020-02-24,0,0,0,,0,0,,0.0,0
2020-02-25,0,0,0,,0,0,,0.0,0
2020-02-26,0,0,0,,0,0,,0.0,0
2020-02-27,1,nan,1,,1,0,,0.0,nan
2020-02-28,2,nan,2,1.0,2,0,0.0,0.0,nan
2020-02-29,3,nan,3,1.0,3,0,0.0,0.0,nan
2020-03-01,4,nan,4,1.0,4,0,0.0,0.0,nan
2020-03-02,4,nan,4,0.0,4,0,0.0,0.0,nan
2020-03-03,10,nan,10,6.0,10,0,0.0,0.0,nan
2020-03-04,14,nan,14,4.0,14,0,0.0,0.0,nan
2020-03-05,18,0,19,5.0,18,0,0.0,1.0,0
2020-03-06,20,0,21,2.0,20,0,0.0,0.0,0
2020-03-07,26,0,27,6.0,26,0,0.0,0.0,0
2020-03-08,34,0,35,8.0,34,0,0.0,0.0,0
2020-03-09,89,0,90,55.0,89,0,0.0,0.0,0
2020-03-10,261,0,262,172.0,261,0,0.0,0.0,0
2020-03-11,513,0,514,252.0,513,0,0.0,0.0,0
2020-03-12,673,0,674,160.0,673,0,0.0,0.0,0
2020-03-13,803,0,804,130.0,803,0,0.0,0.0,0
2020-03-14,834,50,836,32.0,834,1,1.0,0.0,50
2020-03-15,861,66.67,864,28.0,861,2,1.0,0.0,66.67
2020-03-16,909,80,914,50.0,909,4,2.0,0.0,80
2020-03-17,972,80,977,63.0,972,4,0.0,0.0,80
2020-03-18,1052,80,1057,80.0,1052,4,0.0,0.0,80
2020-03-19,1144,85.71,1151,94.0,1144,6,2.0,0.0,85.71
2020-03-20,1245,90,1255,104.0,1245,9,3.0,0.0,90
2020-03-21,1312,92.86,1326,71.0,1312,13,4.0,0.0,92.86
2020-03-22,1381,92.86,1395,69.0,1381,13,0.0,0.0,92.86
2020-03-23,1435,96,1460,65.0,1435,24,11.0,0.0,96
2020-03-24,1558,96.97,1591,131.0,1558,32,8.0,0.0,96.97
2020-03-25,1689,97.14,1724,133.0,1689,34,2.0,0.0,97.14
2020-03-26,1835,97.62,1877,153.0,1835,41,7.0,0.0,97.62
2020-03-27,1993,98.11,2046,169.0,1993,52,11.0,0.0,98.11
2020-03-28,2135,98.48,2201,155.0,2135,65,13.0,0.0,98.48
2020-03-29,2322,98.63,2395,194.0,2322,72,7.0,0.0,98.63
2020-03-30,2499,98.72,2577,182.0,2499,77,5.0,0.0,98.72
2020-03-31,2769,98.9,2860,283.0,2769,90,13.0,0.0,98.9
2020-04-01,2109,10.42,3107,247.0,2109,104,14.0,893.0,10.42
2020-04-02,2174,10.15,3386,279.0,2174,123,19.0,195.0,10.15
2020-04-03,2425,10.44,3757,371.0,2425,139,16.0,104.0,10.44
2020-04-04,2633,11.15,4077,320.0,2633,161,22.0,90.0,11.15
2020-04-05,2863,11.89,4369,292.0,2863,179,18.0,44.0,11.89
2020-04-06,3116,11.95,4681,312.0,3116,187,8.0,51.0,11.95
2020-04-07,3377,11.98,5071,390.0,3377,203,16.0,113.0,11.98
2020-04-08,3563,11.85,5402,331.0,3563,218,15.0,130.0,11.85
2020-04-09,3662,12.01,5635,233.0,3662,237,19.0,115.0,12.01
2020-04-10,3799,12.23,5819,184.0,3799,247,10.0,37.0,12.23
2020-04-11,3781,11.74,5996,177.0,3781,260,13.0,182.0,11.74
2020-04-12,3778,11.39,6174,178.0,3778,273,13.0,168.0,11.39
2020-04-13,3798,11.31,6318,144.0,3798,285,12.0,112.0,11.31
2020-04-14,3697,10.63,6511,193.0,3697,299,14.0,280.0,10.63
2020-04-15,3624,10.11,6681,170.0,3624,309,10.0,233.0,10.11
2020-04-16,3535,9.6,6879,198.0,3535,321,12.0,275.0,9.6
2020-04-17,3348,9.02,7073,194.0,3348,336,15.0,366.0,9.02
2020-04-18,3049,8.25,7242,169.0,3049,346,10.0,458.0,8.25
2020-04-19,2888,7.9,7384,142.0,2888,355,9.0,294.0,7.9
2020-04-20,2839,7.78,7515,131.0,2839,364,9.0,171.0,7.78
2020-04-21,2625,7.3,7695,180.0,2625,370,6.0,388.0,7.3
2020-04-22,2441,7.02,7912,217.0,2441,384,14.0,387.0,7.02
2020-04-23,2295,6.82,8073,161.0,2295,394,10.0,297.0,6.82
2020-04-24,2281,6.8,8210,137.0,2281,403,9.0,142.0,6.8
2020-04-25,2358,6.87,8445,235.0,2358,418,15.0,143.0,6.87
2020-04-26,2348,6.78,8575,130.0,2348,422,4.0,136.0,6.78
2020-04-27,2312,6.69,8698,123.0,2312,427,5.0,154.0,6.69
2020-04-28,2296,6.62,8851,153.0,2296,434,7.0,162.0,6.62
2020-04-29,2199,6.51,9008,157.0,2199,443,9.0,245.0,6.51
2020-04-30,2160,6.46,9158,150.0,2160,452,9.0,180.0,6.46
2020-05-01,2122,6.4,9311,153.0,2122,460,8.0,183.0,6.4
2020-05-02,2043,6.45,9407,96.0,2043,475,15.0,160.0,6.45
2020-05-03,2052,6.48,9523,116.0,2052,484,9.0,98.0,6.48
2020-05-04,2089,6.5,9670,147.0,2089,493,9.0,101.0,6.5
2020-05-05,2022,6.45,9821,151.0,2022,503,10.0,208.0,6.45
2020-05-06,1939,6.33,9938,117.0,1939,506,3.0,197.0,6.33
2020-05-07,1858,6.25,10083,145.0,1858,514,8.0,218.0,6.25
2020-05-08,1769,6.18,10218,135.0,1769,522,8.0,216.0,6.18
2020-05-09,1700,6.1,10319,101.0,1700,526,4.0,166.0,6.1
2020-05-10,1685,6.03,10429,110.0,1685,527,1.0,124.0,6.03
2020-05-11,1658,5.95,10513,84.0,1658,527,0.0,111.0,5.95
2020-05-12,1484,5.79,10591,78.0,1484,527,0.0,252.0,5.79
2020-05-13,1471,5.8,10667,76.0,1471,533,6.0,83.0,5.8
2020-05-14,1371,5.75,10713,46.0,1371,537,4.0,142.0,5.75
2020-05-15,1295,5.66,10791,78.0,1295,537,0.0,154.0,5.66
2020-05-16,1208,5.63,10858,67.0,1208,543,6.0,148.0,5.63
2020-05-17,1153,5.6,10927,69.0,1153,547,4.0,120.0,5.6
2020-05-18,1119,5.56,10968,41.0,1119,548,1.0,74.0,5.56
2020-05-19,1077,5.53,11044,76.0,1077,551,3.0,115.0,5.53
2020-05-20,1027,5.49,11117,73.0,1027,554,3.0,120.0,5.49
2020-05-21,978,5.5,11182,65.0,978,561,7.0,107.0,5.5
2020-05-22,905,5.43,11230,48.0,905,561,0.0,121.0,5.43
2020-05-23,892,5.4,11289,59.0,892,561,0.0,72.0,5.4
2020-05-24,898,5.37,11360,71.0,898,562,1.0,64.0,5.37
2020-05-25,860,5.35,11387,27.0,860,563,1.0,64.0,5.35
2020-05-26,821,5.31,11428,41.0,821,563,0.0,80.0,5.31
2020-05-27,809,5.29,11480,52.0,809,565,2.0,62.0,5.29
2020-05-28,764,5.28,11512,32.0,764,568,3.0,74.0,5.28
2020-05-29,785,5.26,11593,81.0,785,568,0.0,60.0,5.26
2020-05-30,735,5.24,11633,40.0,735,571,3.0,87.0,5.24
2020-05-31,733,5.25,11669,36.0,733,574,3.0,35.0,5.25
2020-06-01,711,5.24,11699,30.0,711,576,2.0,50.0,5.24
2020-06-02,665,5.24,11734,35.0,665,580,4.0,77.0,5.24
2020-06-03,639,5.21,11771,37.0,639,580,0.0,63.0,5.21
2020-06-04,609,5.2,11811,40.0,609,582,2.0,68.0,5.2
2020-06-05,636,5.21,11875,64.0,636,586,4.0,33.0,5.21
2020-06-06,616,5.19,11924,49.0,616,587,1.0,68.0,5.19
2020-06-07,604,5.19,11948,24.0,604,589,2.0,34.0,5.19
2020-06-08,577,5.21,11962,14.0,577,593,4.0,37.0,5.21
2020-06-09,559,5.18,12001,39.0,559,593,0.0,57.0,5.18
2020-06-10,519,5.16,12016,15.0,519,593,0.0,55.0,5.16
2020-06-11,487,5.14,12035,19.0,487,593,0.0,51.0,5.14
2020-06-12,512,5.13,12099,64.0,512,594,1.0,38.0,5.13
2020-06-13,507,5.13,12139,40.0,507,597,3.0,42.0,5.13
2020-06-14,528,5.12,12193,54.0,528,597,0.0,33.0,5.12
2020-06-15,529,5.12,12217,24.0,529,598,1.0,22.0,5.12
2020-06-16,527,5.1,12250,33.0,527,598,0.0,35.0,5.1
2020-06-17,511,5.08,12294,44.0,511,598,0.0,60.0,5.08
2020-06-18,502,5.07,12344,50.0,502,600,2.0,57.0,5.07
2020-06-19,509,5.05,12391,47.0,509,600,0.0,40.0,5.05
2020-06-20,509,5.05,12391,0.0,509,600,0.0,0.0,5.05
