Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0.0,1,,0,0,,,0.0
2020-02-16,0,0.0,1,0.0,0,0,,0.0,0.0
2020-02-17,0,0.0,1,0.0,0,0,,0.0,0.0
2020-02-18,0,0.0,1,0.0,0,0,,0.0,0.0
2020-02-19,0,0.0,1,0.0,0,0,,0.0,0.0
2020-02-20,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-21,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-22,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-23,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-24,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-25,0,0.0,1,0.0,0,0,0.0,0.0,0.0
2020-02-26,1,0.0,2,1.0,1,0,0.0,0.0,0.0
2020-02-27,1,0.0,2,0.0,1,0,0.0,0.0,0.0
2020-02-28,2,0.0,3,1.0,2,0,0.0,0.0,0.0
2020-02-29,2,0.0,3,0.0,2,0,0.0,0.0,0.0
2020-03-01,5,0.0,6,3.0,5,0,0.0,0.0,0.0
2020-03-02,6,0.0,7,1.0,6,0,0.0,0.0,0.0
2020-03-03,6,0.0,7,0.0,6,0,0.0,0.0,0.0
2020-03-04,6,0.0,7,0.0,6,0,0.0,0.0,0.0
2020-03-05,11,0.0,12,5.0,11,0,0.0,0.0,0.0
2020-03-06,14,0.0,15,3.0,14,0,0.0,0.0,0.0
2020-03-07,18,0.0,19,4.0,18,0,0.0,0.0,0.0
2020-03-08,24,0.0,25,6.0,24,0,0.0,0.0,0.0
2020-03-09,32,0.0,33,8.0,32,0,0.0,0.0,0.0
2020-03-10,39,0.0,40,7.0,39,0,0.0,0.0,0.0
2020-03-11,64,0.0,65,25.0,64,0,0.0,0.0,0.0
2020-03-12,108,0.0,109,44.0,108,0,0.0,0.0,0.0
2020-03-13,154,0.0,155,46.0,154,0,0.0,0.0,0.0
2020-03-14,215,0.0,225,70.0,215,0,0.0,9.0,0.0
2020-03-15,234,0.0,244,19.0,234,0,0.0,0.0,0.0
2020-03-16,268,0.0,278,34.0,268,0,0.0,0.0,0.0
2020-03-17,312,0.0,322,44.0,312,0,0.0,0.0,0.0
2020-03-18,349,0.0,359,37.0,349,0,0.0,0.0,0.0
2020-03-19,390,0.0,400,41.0,390,0,0.0,0.0,0.0
2020-03-20,440,0.0,450,50.0,440,0,0.0,0.0,0.0
2020-03-21,512,9.09,523,73.0,512,1,1.0,0.0,9.09
2020-03-22,615,9.09,626,103.0,615,1,0.0,0.0,9.09
