Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,7,20.0,12,,7,1,,,20.0
2020-02-16,7,20.0,12,0.0,7,1,0.0,0.0,20.0
2020-02-17,6,16.67,12,0.0,6,1,0.0,1.0,16.67
2020-02-18,4,12.5,12,0.0,4,1,0.0,2.0,12.5
2020-02-19,4,12.5,12,0.0,4,1,0.0,0.0,12.5
2020-02-20,4,12.5,12,0.0,4,1,0.0,0.0,12.5
2020-02-21,4,12.5,12,0.0,4,1,0.0,0.0,12.5
2020-02-22,1,9.09,12,0.0,1,1,0.0,3.0,9.09
2020-02-23,1,9.09,12,0.0,1,1,0.0,0.0,9.09
2020-02-24,0,8.33,12,0.0,0,1,0.0,1.0,8.33
2020-02-25,2,8.33,14,2.0,2,1,0.0,0.0,8.33
2020-02-26,5,15.38,18,4.0,5,2,1.0,0.0,15.38
2020-02-27,24,15.38,37,19.0,24,2,0.0,0.0,15.38
2020-02-28,42,15.38,55,18.0,42,2,0.0,0.0,15.38
2020-02-29,80,14.29,94,39.0,80,2,0.0,1.0,14.29
2020-03-01,107,14.29,121,27.0,107,2,0.0,0.0,14.29
2020-03-02,162,20.0,177,56.0,162,3,1.0,0.0,20.0
2020-03-03,181,25.0,197,20.0,181,4,1.0,0.0,25.0
2020-03-04,248,25.0,264,67.0,248,4,0.0,0.0,25.0
2020-03-05,371,36.84,390,126.0,371,7,3.0,0.0,36.84
2020-03-06,578,42.86,599,209.0,578,9,2.0,0.0,42.86
2020-03-07,840,57.14,868,269.0,840,16,7.0,0.0,57.14
2020-03-08,1073,61.29,1104,236.0,1073,19,3.0,0.0,61.29
2020-03-09,1247,71.43,1289,185.0,1247,30,11.0,0.0,71.43
2020-03-10,1582,73.33,1627,338.0,1582,33,3.0,0.0,73.33
2020-03-11,2019,80.0,2079,452.0,2019,48,15.0,0.0,80.0
2020-03-12,2546,83.56,2619,540.0,2546,61,13.0,0.0,83.56
2020-03-13,3242,86.81,3333,714.0,3242,79,18.0,0.0,86.81
2020-03-14,3991,88.35,4094,761.0,3991,91,12.0,0.0,88.35
2020-03-15,4795,91.37,4934,840.0,4795,127,36.0,0.0,91.37
2020-03-16,5874,92.5,6034,1100.0,5874,148,21.0,0.0,92.5
2020-03-17,6254,22.52,7031,997.0,6254,175,27.0,590.0,22.52
2020-03-18,7442,30.48,8308,1277.0,7442,264,89.0,0.0,30.48
2020-03-19,8332,22.32,9999,1691.0,8332,372,108.0,693.0,22.32
2020-03-20,9431,22.09,11468,1469.0,9431,450,78.0,292.0,22.09
2020-03-21,10997,26.15,13146,1678.0,10997,562,112.0,0.0,26.15
2020-03-22,11689,23.45,14563,1417.0,11689,674,112.0,613.0,23.45
2020-03-23,14991,28.1,18051,3488.0,14991,860,186.0,0.0,28.1
2020-03-24,15894,25.11,20275,2224.0,15894,1100,240.0,1081.0,25.11
2020-03-25,17706,25.44,22937,2662.0,17706,1331,231.0,619.0,25.44
2020-03-26,19857,25.53,26501,3564.0,19857,1696,365.0,1048.0,25.53
2020-03-27,22268,25.93,29963,3462.0,22268,1995,299.0,752.0,25.93
2020-03-28,26140,28.87,34154,4191.0,26140,2314,319.0,0.0,28.87
2020-03-29,26708,26.57,36516,2362.0,26708,2606,292.0,1502.0,26.57
2020-03-30,29542,27.61,40493,3977.0,29542,3024,418.0,725.0,27.61
2020-03-31,34414,27.16,47380,6887.0,34414,3522,498.0,1517.0,27.16
2020-04-01,36833,26.93,51798,4418.0,36833,4030,508.0,1491.0,26.93
2020-04-02,35909,30.23,53721,1923.0,35909,5384,1354.0,1493.0,30.23
2020-04-03,37965,31.7,58476,4755.0,37965,6503,1119.0,1580.0,31.7
2020-04-04,39360,32.86,62353,3877.0,39360,7555,1052.0,1430.0,32.86
2020-04-05,39801,33.28,64056,1703.0,39801,8072,517.0,745.0,33.28
2020-04-06,41457,34.04,67611,3555.0,41457,8904,832.0,1067.0,34.04
2020-04-07,41386,34.8,71043,3432.0,41386,10320,1416.0,2087.0,34.8
2020-04-08,42455,33.82,74569,3526.0,42455,10860,540.0,1917.0,33.82
2020-04-09,43059,34.46,78464,3895.0,43059,12199,1339.0,1952.0,34.46
2020-04-10,44293,34.59,82410,3946.0,44293,13185,986.0,1726.0,34.59
2020-04-11,45029,34.37,85239,2829.0,45029,13819,634.0,1459.0,34.37
2020-04-12,45139,34.6,86705,1466.0,45139,14380,561.0,795.0,34.6
2020-04-13,46461,35.04,89133,2428.0,46461,14954,574.0,532.0,35.04
2020-04-14,49609,35.3,94129,4996.0,49609,15715,761.0,1087.0,35.3
