Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,13,0.0,16,,13,0,,,0.0
2020-02-16,13,0.0,16,0.0,13,0,,0.0,0.0
2020-02-17,9,0.0,16,0.0,9,0,,4.0,0.0
2020-02-18,7,0.0,16,0.0,7,0,,2.0,0.0
2020-02-19,7,0.0,16,0.0,7,0,,0.0,0.0
2020-02-20,3,0.0,16,0.0,3,0,0.0,4.0,0.0
2020-02-21,2,0.0,16,0.0,2,0,0.0,1.0,0.0
2020-02-22,2,0.0,16,0.0,2,0,0.0,0.0,0.0
2020-02-23,2,0.0,16,0.0,2,0,0.0,0.0,0.0
2020-02-24,2,0.0,16,0.0,2,0,0.0,0.0,0.0
2020-02-25,3,0.0,18,2.0,3,0,0.0,1.0,0.0
2020-02-26,11,0.0,26,8.0,11,0,0.0,0.0,0.0
2020-02-27,32,0.0,48,22.0,32,0,0.0,1.0,0.0
2020-02-28,58,0.0,74,26.0,58,0,0.0,0.0,0.0
2020-02-29,63,0.0,79,5.0,63,0,0.0,0.0,0.0
2020-03-01,114,0.0,130,51.0,114,0,0.0,0.0,0.0
2020-03-02,149,0.0,165,35.0,149,0,0.0,0.0,0.0
2020-03-03,187,0.0,203,38.0,187,0,0.0,0.0,0.0
2020-03-04,246,0.0,262,59.0,246,0,0.0,0.0,0.0
2020-03-05,528,0.0,545,283.0,528,0,0.0,1.0,0.0
2020-03-06,652,0.0,670,125.0,652,0,0.0,1.0,0.0
2020-03-07,782,0.0,800,130.0,782,0,0.0,0.0,0.0
2020-03-08,1022,0.0,1040,240.0,1022,0,0.0,0.0,0.0
2020-03-09,1204,10.0,1224,184.0,1204,2,2.0,0.0,10.0
2020-03-10,1545,10.0,1565,341.0,1545,2,0.0,0.0,10.0
2020-03-11,1938,10.71,1966,401.0,1938,3,1.0,7.0,10.71
2020-03-12,2714,19.35,2745,779.0,2714,6,3.0,0.0,19.35
2020-03-13,3621,14.81,3675,930.0,3621,8,2.0,21.0,14.81
2020-03-14,4544,16.36,4599,924.0,4544,9,1.0,0.0,16.36
2020-03-15,5754,22.03,5813,1214.0,5754,13,4.0,0.0,22.03
2020-03-16,7188,20.24,7272,1459.0,7188,17,4.0,21.0,20.24
2020-03-17,9274,27.96,9367,2095.0,9274,26,9.0,0.0,27.96
2020-03-18,12194,21.05,12327,2960.0,12194,28,2.0,38.0,21.05
2020-03-19,15161,27.67,15320,2993.0,15161,44,16.0,10.0,27.67
2020-03-20,19600,27.42,19848,4528.0,19600,68,24.0,65.0,27.42
2020-03-21,22071,28.67,22364,2516.0,22071,84,16.0,29.0,28.67
2020-03-22,24513,26.11,24873,2509.0,24513,94,10.0,57.0,26.11
2020-03-23,28480,21.35,29056,4183.0,28480,123,29.0,187.0,21.35
2020-03-24,29542,4.61,32991,3935.0,29542,159,36.0,2837.0,4.61
2020-03-25,33570,5.49,37323,4332.0,33570,206,47.0,257.0,5.49
2020-03-26,37998,4.49,43938,6615.0,37998,267,61.0,2126.0,4.49
2020-03-27,43862,5.01,50871,6933.0,43862,351,84.0,985.0,5.01
2020-03-28,48781,4.86,57695,6824.0,48781,433,82.0,1823.0,4.86
2020-03-29,52683,5.55,62435,4740.0,52683,541,108.0,730.0,5.55
2020-03-30,52740,4.56,66885,4450.0,52740,645,104.0,4289.0,4.56
2020-03-31,54933,4.59,71808,4923.0,54933,775,130.0,2600.0,4.59
2020-04-01,58350,4.74,77981,6173.0,58350,931,156.0,2600.0,4.74
2020-04-02,61247,4.7,84794,6813.0,61247,1107,176.0,3740.0,4.7
2020-04-03,65309,4.93,91159,6365.0,65309,1275,168.0,2135.0,4.93
2020-04-04,68248,5.19,96092,4933.0,68248,1444,169.0,1825.0,5.19
2020-04-05,69839,5.23,100123,4031.0,69839,1584,140.0,2300.0,5.23
2020-04-06,72865,5.93,103375,3252.0,72865,1810,226.0,0.0,5.93
2020-04-07,69566,5.29,107663,4288.0,69566,2016,206.0,7381.0,5.29
2020-04-08,64647,4.83,113296,5633.0,64647,2349,333.0,10219.0,4.83
2020-04-09,63221,4.74,118235,4939.0,63221,2607,258.0,6107.0,4.74
