Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0.0,0,,0,0,,,0.0
2020-02-16,0,0.0,0,,0,0,,0.0,0.0
2020-02-17,0,0.0,0,,0,0,,0.0,0.0
2020-02-18,0,0.0,0,,0,0,,0.0,0.0
2020-02-19,0,100.0,2,,0,2,,0.0,100.0
2020-02-20,3,100.0,5,3.0,3,2,0.0,0.0,100.0
2020-02-21,14,100.0,18,13.0,14,4,2.0,0.0,100.0
2020-02-22,23,100.0,29,11.0,23,6,2.0,0.0,100.0
2020-02-23,34,88.89,43,14.0,34,8,2.0,1.0,88.89
2020-02-24,46,80.0,61,18.0,46,12,4.0,2.0,80.0
2020-02-25,54,39.02,95,34.0,54,16,4.0,22.0,39.02
2020-02-26,95,43.18,139,44.0,95,19,3.0,0.0,43.18
2020-02-27,165,32.5,245,106.0,165,26,7.0,29.0,32.5
2020-02-28,281,31.78,388,143.0,281,34,8.0,19.0,31.78
2020-02-29,427,25.9,593,205.0,427,43,9.0,50.0,25.9
2020-03-01,749,23.58,978,385.0,749,54,11.0,52.0,23.58
2020-03-02,1144,18.49,1501,523.0,1144,66,12.0,116.0,18.49
2020-03-03,1824,15.04,2336,835.0,1824,77,11.0,144.0,15.04
2020-03-04,2278,14.29,2922,586.0,2278,92,15.0,117.0,14.29
2020-03-05,2666,12.75,3513,591.0,2666,108,16.0,187.0,12.75
2020-03-06,3710,11.96,4747,1234.0,3710,124,16.0,174.0,11.96
2020-03-07,4009,7.99,5823,1076.0,4009,145,21.0,756.0,7.99
2020-03-08,4238,8.33,6566,743.0,4238,194,49.0,465.0,8.33
2020-03-09,4530,9.01,7161,595.0,4530,237,43.0,260.0,9.01
2020-03-10,5020,9.63,8042,881.0,5020,291,54.0,337.0,9.63
2020-03-11,5687,10.69,9000,958.0,5687,354,63.0,228.0,10.69
2020-03-12,6370,11.58,10075,1075.0,6370,429,75.0,317.0,11.58
2020-03-13,7321,12.71,11364,1289.0,7321,514,85.0,253.0,12.71
2020-03-14,7779,12.34,12729,1365.0,7779,611,97.0,810.0,12.34
2020-03-15,8624,13.62,13938,1209.0,8624,724,113.0,251.0,13.62
2020-03-16,9142,14.58,14991,1053.0,9142,853,129.0,406.0,14.58
2020-03-17,9792,15.49,16169,1178.0,9792,988,135.0,393.0,15.49
2020-03-18,10516,16.58,17361,1192.0,10516,1135,147.0,321.0,16.58
2020-03-19,11144,17.68,18407,1046.0,11144,1284,149.0,269.0,17.68
2020-03-20,11466,17.52,19644,1237.0,11466,1433,149.0,766.0,17.52
2020-03-21,11419,16.93,20610,966.0,11419,1556,123.0,890.0,16.93
2020-03-22,12040,17.56,21638,1028.0,12040,1685,129.0,278.0,17.56
2020-03-23,12861,17.79,23049,1411.0,12861,1812,127.0,463.0,17.79
2020-03-24,13964,17.83,24811,1762.0,13964,1934,122.0,537.0,17.83
2020-03-25,15315,17.75,27017,2206.0,15315,2077,143.0,712.0,17.75
2020-03-26,16715,17.6,29406,2389.0,16715,2234,157.0,832.0,17.6
2020-03-27,18821,17.6,32332,2926.0,18821,2378,144.0,676.0,17.6
2020-03-28,21212,17.73,35408,3076.0,21212,2517,139.0,546.0,17.73
2020-03-29,23278,17.56,38309,2901.0,23278,2640,123.0,712.0,17.56
2020-03-30,24827,16.54,41495,3186.0,24827,2757,117.0,1520.0,16.54
