Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,1,nan,1,,1,0,,0.0,nan
2020-02-22,1,nan,1,0.0,1,0,0.0,0.0,nan
2020-02-23,2,nan,2,1.0,2,0,0.0,0.0,nan
2020-02-24,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-02-25,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-02-26,2,nan,2,0.0,2,0,0.0,0.0,nan
2020-02-27,3,nan,3,1.0,3,0,0.0,0.0,nan
2020-02-28,6,0,7,4.0,6,0,0.0,1.0,0
2020-02-29,6,0,7,0.0,6,0,0.0,0.0,0
2020-03-01,9,0,10,3.0,9,0,0.0,0.0,0
2020-03-02,11,0,12,2.0,11,0,0.0,0.0,0
2020-03-03,11,0,12,0.0,11,0,0.0,0.0,0
2020-03-04,14,0,15,3.0,14,0,0.0,0.0,0
2020-03-05,15,0,17,2.0,15,0,0.0,1.0,0
2020-03-06,19,0,21,4.0,19,0,0.0,0.0,0
2020-03-07,22,0,25,4.0,22,0,0.0,1.0,0
2020-03-08,36,0,39,14.0,36,0,0.0,0.0,0
2020-03-09,46,0,50,11.0,46,0,0.0,1.0,0
2020-03-10,71,0,75,25.0,71,0,0.0,0.0,0
2020-03-11,93,0,97,22.0,93,0,0.0,0.0,0
2020-03-12,105,0,109,12.0,105,0,0.0,0.0,0
2020-03-13,139,0,143,34.0,139,0,0.0,0.0,0
2020-03-14,189,0,193,50.0,189,0,0.0,0.0,0
2020-03-15,209,0,213,20.0,209,0,0.0,0.0,0
2020-03-16,294,0,298,85.0,294,0,0.0,0.0,0
2020-03-17,326,0,337,39.0,326,0,0.0,7.0,0
2020-03-18,422,0,433,96.0,422,0,0.0,0.0,0
2020-03-19,663,0,677,244.0,663,0,0.0,3.0,0
2020-03-20,689,6.25,705,28.0,689,1,1.0,1.0,6.25
2020-03-21,846,2.7,883,178.0,846,1,0.0,21.0,2.7
2020-03-22,1033,2.63,1071,188.0,1033,1,0.0,1.0,2.63
2020-03-23,1400,2.38,1442,371.0,1400,1,0.0,4.0,2.38
2020-03-24,1874,5.36,1930,488.0,1874,3,2.0,12.0,5.36
2020-03-25,2306,7.94,2369,439.0,2306,5,2.0,5.0,7.94
2020-03-26,2617,10.53,2693,324.0,2617,8,3.0,10.0,10.53
2020-03-27,2944,13.19,3035,342.0,2944,12,4.0,11.0,13.19
2020-03-28,3518,11.88,3619,584.0,3518,12,0.0,10.0,11.88
2020-03-29,4100,10.2,4247,628.0,4100,15,3.0,43.0,10.2
2020-03-30,4518,9.04,4695,448.0,4518,16,1.0,29.0,9.04
2020-03-31,5114,8.2,5358,663.0,5114,20,4.0,63.0,8.2
2020-04-01,5825,9.74,6092,734.0,5825,26,6.0,17.0,9.74
2020-04-02,6483,9.63,6857,765.0,6483,36,10.0,97.0,9.63
2020-04-03,6985,9.03,7428,571.0,6985,40,4.0,65.0,9.03
2020-04-04,7380,9.34,7851,423.0,7380,44,4.0,24.0,9.34
2020-04-05,7904,9.32,8430,579.0,7904,49,5.0,50.0,9.32
2020-04-06,8262,8.88,8904,474.0,8262,57,8.0,108.0,8.88
2020-04-07,8413,7.78,9248,344.0,8413,65,8.0,185.0,7.78
2020-04-08,8530,8.35,9404,156.0,8530,73,8.0,31.0,8.35
2020-04-09,8871,7.84,9968,564.0,8871,86,13.0,210.0,7.84
2020-04-10,9130,7.43,10408,440.0,9130,95,9.0,172.0,7.43
2020-04-11,9301,7,10743,335.0,9301,101,6.0,158.0,7
2020-04-12,9415,5.95,11145,402.0,9415,103,2.0,286.0,5.95
2020-04-13,9615,5.89,11586,441.0,9615,116,13.0,228.0,5.89
2020-04-14,9728,5.31,12046,460.0,9728,123,7.0,340.0,5.31
2020-04-15,9808,4.83,12501,455.0,9808,130,7.0,368.0,4.83
2020-04-16,9798,4.8,12758,257.0,9798,142,12.0,255.0,4.8
2020-04-17,9705,4.61,12982,224.0,9705,151,9.0,308.0,4.61
2020-04-18,9645,4.53,13265,283.0,9645,164,13.0,330.0,4.53
2020-04-19,9565,4.38,13491,226.0,9565,172,8.0,298.0,4.38
2020-04-20,9487,4.19,13713,222.0,9487,177,5.0,295.0,4.19
2020-04-21,9251,3.92,13942,229.0,9251,184,7.0,458.0,3.92
2020-04-22,9094,3.5,14498,556.0,9094,189,5.0,708.0,3.5
2020-04-23,9000,3.31,14803,305.0,9000,192,3.0,396.0,3.31
2020-04-24,8861,3.13,15058,255.0,8861,194,2.0,392.0,3.13
2020-04-25,8664,3,15298,240.0,8664,199,5.0,432.0,3
2020-04-26,8511,2.9,15443,145.0,8511,201,2.0,296.0,2.9
2020-04-27,8151,2.76,15555,112.0,8151,204,3.0,469.0,2.76
2020-04-28,7772,2.64,15728,173.0,7772,210,6.0,546.0,2.64
2020-04-29,7386,2.54,15834,106.0,7386,215,5.0,487.0,2.54
2020-04-30,7163,2.53,15946,112.0,7163,222,7.0,328.0,2.53
2020-05-01,6720,2.4,16101,155.0,6720,225,3.0,595.0,2.4
2020-05-02,6363,2.33,16185,84.0,6363,229,4.0,437.0,2.33
2020-05-03,6227,2.32,16208,23.0,6227,232,3.0,156.0,2.32
2020-05-04,5947,2.28,16246,38.0,5947,235,3.0,315.0,2.28
2020-05-05,5586,2.22,16289,43.0,5586,238,3.0,401.0,2.22
2020-05-06,5434,2.2,16310,21.0,5434,239,1.0,172.0,2.2
2020-05-07,5268,2.16,16381,71.0,5268,240,1.0,236.0,2.16
2020-05-08,4962,2.14,16436,55.0,4962,245,5.0,356.0,2.14
2020-05-09,4831,2.13,16454,18.0,4831,247,2.0,147.0,2.13
2020-05-10,4795,2.16,16477,23.0,4795,252,5.0,54.0,2.16
2020-05-11,4405,2.13,16506,29.0,4405,258,6.0,413.0,2.13
2020-05-12,4186,2.11,16529,23.0,4186,260,2.0,240.0,2.11
2020-05-13,4052,2.11,16548,19.0,4052,264,4.0,149.0,2.11
2020-05-14,3793,2.07,16579,31.0,3793,265,1.0,289.0,2.07
2020-05-15,3736,2.07,16589,10.0,3736,266,1.0,66.0,2.07
2020-05-16,3484,2.04,16607,18.0,3484,268,2.0,268.0,2.04
2020-05-17,3403,2.06,16617,10.0,3403,272,4.0,87.0,2.06
2020-05-18,3114,2.04,16643,26.0,3114,276,4.0,311.0,2.04
2020-05-19,2946,2.03,16659,16.0,2946,278,2.0,182.0,2.03
2020-05-20,2884,2.02,16667,8.0,2884,279,1.0,69.0,2.02
2020-05-21,2680,1.99,16683,16.0,2680,279,0.0,220.0,1.99
2020-05-22,2496,1.97,16690,7.0,2496,279,0.0,191.0,1.97
2020-05-23,2343,1.94,16712,22.0,2343,279,0.0,175.0,1.94
2020-05-24,2285,1.93,16717,5.0,2285,279,0.0,63.0,1.93
2020-05-25,2146,1.93,16734,17.0,2146,281,2.0,154.0,1.93
2020-05-26,2019,1.91,16757,23.0,2019,281,0.0,150.0,1.91
2020-05-27,1942,1.89,16793,36.0,1942,281,0.0,113.0,1.89
2020-05-28,1909,1.9,16872,79.0,1909,284,3.0,109.0,1.9
2020-05-29,1927,1.89,16987,115.0,1927,284,0.0,97.0,1.89
2020-05-30,1917,1.88,17012,25.0,1917,284,0.0,35.0,1.88
2020-05-31,1974,1.89,17071,59.0,1974,285,1.0,1.0,1.89
2020-06-01,2006,1.88,17169,98.0,2006,285,0.0,66.0,1.88
2020-06-02,2055,1.9,17285,116.0,2055,290,5.0,62.0,1.9
2020-06-03,2103,1.91,17377,92.0,2103,291,1.0,43.0,1.91
2020-06-04,2191,1.9,17495,118.0,2191,291,0.0,30.0,1.9
2020-06-05,2245,1.9,17562,67.0,2245,291,0.0,13.0,1.9
2020-06-06,2415,1.92,17752,190.0,2415,295,4.0,16.0,1.92
2020-06-07,2474,1.94,17863,111.0,2474,298,3.0,49.0,1.94
2020-06-08,2632,1.94,18032,169.0,2632,298,0.0,11.0,1.94
2020-06-09,2722,1.93,18180,148.0,2722,299,1.0,57.0,1.93
2020-06-10,2888,1.93,18355,175.0,2888,299,0.0,9.0,1.93
2020-06-11,3019,1.93,18569,214.0,3019,300,1.0,82.0,1.93
2020-06-12,3207,1.92,18795,226.0,3207,300,0.0,38.0,1.92
2020-06-13,3315,1.92,18972,177.0,3315,300,0.0,69.0,1.92
2020-06-14,3380,1.91,19055,83.0,3380,300,0.0,18.0,1.91
2020-06-15,3520,1.92,19237,182.0,3520,302,2.0,40.0,1.92
2020-06-16,3744,1.92,19495,258.0,3744,302,0.0,34.0,1.92
2020-06-17,4021,1.92,19783,288.0,4021,303,1.0,10.0,1.92
2020-06-18,4215,1.92,20036,253.0,4215,303,0.0,59.0,1.92
