Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,3,nan,3,,3,0,,,nan
2020-02-16,3,nan,3,0.0,3,0,0.0,0.0,nan
2020-02-17,3,nan,3,0.0,3,0,0.0,0.0,nan
2020-02-18,3,nan,3,0.0,3,0,0.0,0.0,nan
2020-02-19,3,nan,3,0.0,3,0,0.0,0.0,nan
2020-02-20,4,nan,4,1.0,4,0,0.0,0.0,nan
2020-02-21,19,50,21,17.0,19,1,1.0,1.0,50
2020-02-22,75,50,79,58.0,75,2,1.0,1.0,50
2020-02-23,152,60,157,78.0,152,3,1.0,0.0,60
2020-02-24,220,77.78,229,72.0,220,7,4.0,0.0,77.78
2020-02-25,310,84.62,323,94.0,310,11,4.0,0.0,84.62
2020-02-26,455,80,470,147.0,455,12,1.0,1.0,80
2020-02-27,593,27.42,655,185.0,593,17,5.0,42.0,27.42
2020-02-28,822,31.34,889,234.0,822,21,4.0,1.0,31.34
2020-02-29,1049,36.71,1128,239.0,1049,29,8.0,4.0,36.71
2020-03-01,1578,33.06,1702,574.0,1578,41,12.0,33.0,33.06
2020-03-02,1837,25.87,2038,336.0,1837,52,11.0,66.0,25.87
2020-03-03,2265,33.05,2504,466.0,2265,79,27.0,11.0,33.05
2020-03-04,2709,27.94,3092,588.0,2709,107,28.0,116.0,27.94
2020-03-05,3299,26.33,3861,769.0,3299,148,41.0,138.0,26.33
2020-03-06,3919,27.36,4639,778.0,3919,197,49.0,109.0,27.36
2020-03-07,5064,28.35,5886,1247.0,5064,233,36.0,66.0,28.35
2020-03-08,6391,37.11,7380,1494.0,6391,367,134.0,33.0,37.11
2020-03-09,7991,39.06,9179,1799.0,7991,464,97.0,102.0,39.06
2020-03-10,8518,38.64,10156,977.0,8518,633,169.0,281.0,38.64
2020-03-11,10593,44.24,12469,2313.0,10593,830,197.0,41.0,44.24
2020-03-12,12842,44.74,15122,2653.0,12842,1020,190.0,214.0,44.74
2020-03-13,14958,46.87,17670,2548.0,14958,1271,251.0,181.0,46.87
2020-03-14,17753,42.36,21169,3499.0,17753,1447,176.0,528.0,42.36
2020-03-15,20607,43.71,24762,3593.0,20607,1816,369.0,370.0,43.71
2020-03-16,23077,44.02,27997,3235.0,23077,2166,350.0,415.0,44.02
2020-03-17,26066,46.02,31524,3527.0,26066,2512,346.0,192.0,46.02
2020-03-18,28711,42.56,35732,4208.0,28711,2988,476.0,1087.0,42.56
2020-03-19,33191,43.43,41056,5324.0,33191,3416,428.0,416.0,43.43
2020-03-20,37859,44.04,47044,5988.0,37859,4045,629.0,691.0,44.04
2020-03-21,42672,44.31,53598,6554.0,42672,4841,796.0,945.0,44.31
2020-03-22,46625,43.84,59158,5560.0,46625,5494,653.0,954.0,43.84
2020-03-23,50396,45.01,63941,4783.0,50396,6097,603.0,409.0,45.01
2020-03-24,53995,45.05,69181,5240.0,53995,6842,745.0,896.0,45.05
2020-03-25,57469,44.51,74379,5198.0,57469,7527,685.0,1039.0,44.51
2020-03-26,61956,44.25,80581,6202.0,61956,8241,714.0,1001.0,44.25
2020-03-27,66352,45.5,86488,5907.0,66352,9162,921.0,590.0,45.5
2020-03-28,69997,44.75,92461,5973.0,69997,10053,891.0,1437.0,44.75
2020-03-29,73806,45.29,97676,5215.0,73806,10811,758.0,648.0,45.29
2020-03-30,75444,44.24,101723,4047.0,75444,11626,815.0,1594.0,44.24
2020-03-31,77545,44.16,105776,4053.0,77545,12466,840.0,1112.0,44.16
2020-04-01,80478,43.86,110559,4783.0,80478,13195,729.0,1121.0,43.86
2020-04-02,82951,43.24,115228,4669.0,82951,13957,762.0,1434.0,43.24
2020-04-03,85283,42.65,119813,4585.0,85283,14726,769.0,1484.0,42.65
2020-04-04,88166,42.27,124620,4807.0,88166,15409,683.0,1241.0,42.27
2020-04-05,91137,42.15,128938,4318.0,91137,15935,526.0,821.0,42.15
2020-04-06,93074,42,132537,3599.0,93074,16573,638.0,1024.0,42
2020-04-07,93946,41.27,135574,3037.0,93946,17179,606.0,1559.0,41.27
2020-04-08,95133,40.03,139408,3834.0,95133,17722,543.0,2104.0,40.03
2020-04-09,96741,39.12,143612,4204.0,96741,18334,612.0,1984.0,39.12
2020-04-10,98129,38.25,147562,3950.0,98129,18906,572.0,1990.0,38.25
2020-04-11,100121,37.45,152259,4697.0,100121,19527,621.0,2084.0,37.45
