Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,0,0,0,,0,0,,0.0,0
2020-02-22,0,0,0,,0,0,,0.0,0
2020-02-23,0,0,0,,0,0,,0.0,0
2020-02-24,0,0,0,,0,0,,0.0,0
2020-02-25,0,0,0,,0,0,,0.0,0
2020-02-26,0,0,0,,0,0,,0.0,0
2020-02-27,0,0,0,,0,0,,0.0,0
2020-02-28,0,0,0,,0,0,,0.0,0
2020-02-29,0,0,0,,0,0,,0.0,0
2020-03-01,0,0,0,,0,0,,0.0,0
2020-03-02,0,0,0,,0,0,,0.0,0
2020-03-03,0,0,0,,0,0,,0.0,0
2020-03-04,0,0,0,,0,0,,0.0,0
2020-03-05,0,0,0,,0,0,,0.0,0
2020-03-06,0,0,0,,0,0,,0.0,0
2020-03-07,0,0,0,,0,0,,0.0,0
2020-03-08,0,0,0,,0,0,,0.0,0
2020-03-09,0,0,0,,0,0,,0.0,0
2020-03-10,1,nan,1,,1,0,,0.0,nan
2020-03-11,13,100,14,13.0,13,1,1.0,0.0,100
2020-03-12,13,100,14,0.0,13,1,0.0,0.0,100
2020-03-13,26,100,27,13.0,26,1,0.0,0.0,100
2020-03-14,42,100,43,16.0,42,1,0.0,0.0,100
2020-03-15,54,100,55,12.0,54,1,0.0,0.0,100
2020-03-16,68,100,69,14.0,68,1,0.0,0.0,100
2020-03-17,68,100,69,0.0,68,1,0.0,0.0,100
2020-03-18,108,100,109,40.0,108,1,0.0,0.0,100
2020-03-19,135,50,137,28.0,135,1,0.0,1.0,50
2020-03-20,198,50,200,63.0,198,1,0.0,0.0,50
2020-03-21,241,75,245,45.0,241,3,2.0,0.0,75
2020-03-22,309,75,313,68.0,309,3,0.0,0.0,75
2020-03-23,338,85.71,345,32.0,338,6,3.0,0.0,85.71
2020-03-24,436,85.71,443,98.0,436,6,0.0,0.0,85.71
2020-03-25,548,80,558,115.0,548,8,2.0,1.0,80
2020-03-26,663,81.82,674,116.0,663,9,1.0,0.0,81.82
2020-03-27,770,87.5,786,112.0,770,14,5.0,0.0,87.5
2020-03-28,880,80.95,901,115.0,880,17,3.0,2.0,80.95
2020-03-29,961,85.71,989,88.0,961,24,7.0,0.0,85.71
2020-03-30,1039,75,1075,86.0,1039,27,3.0,5.0,75
2020-03-31,1142,76.92,1181,106.0,1142,30,3.0,0.0,76.92
2020-04-01,1276,78.05,1317,136.0,1276,32,2.0,0.0,78.05
2020-04-02,1429,80.43,1475,158.0,1429,37,5.0,0.0,80.43
2020-04-03,1622,80.39,1673,198.0,1622,41,4.0,1.0,80.39
2020-04-04,1742,77.97,1801,128.0,1742,46,5.0,3.0,77.97
2020-04-05,1742,77.97,1801,0.0,1742,46,0.0,0.0,77.97
2020-04-06,2031,79.71,2100,299.0,2031,55,9.0,1.0,79.71
2020-04-07,2031,79.71,2100,0.0,2031,55,0.0,0.0,79.71
2020-04-08,2449,79.75,2528,428.0,2449,63,8.0,2.0,79.75
2020-04-09,2670,80.49,2752,224.0,2670,66,3.0,0.0,80.49
2020-04-10,2883,81.32,2974,222.0,2883,74,8.0,1.0,81.32
2020-04-11,3132,77.45,3234,260.0,3132,79,5.0,6.0,77.45
2020-04-12,3284,75,3400,166.0,3284,87,8.0,6.0,75
2020-04-13,3317,60.65,3472,72.0,3317,94,7.0,32.0,60.65
2020-04-14,3407,56.89,3574,102.0,3407,95,1.0,11.0,56.89
2020-04-15,3573,57.87,3751,177.0,3573,103,8.0,3.0,57.87
2020-04-16,3573,57.87,3751,0.0,3573,103,0.0,0.0,57.87
2020-04-17,3809,52.66,4016,265.0,3809,109,6.0,23.0,52.66
2020-04-18,3972,48.74,4210,194.0,3972,116,7.0,24.0,48.74
2020-04-19,4013,46.15,4273,63.0,4013,120,4.0,18.0,46.15
2020-04-20,4176,43.3,4467,194.0,4176,126,6.0,25.0,43.3
2020-04-21,4318,40,4658,191.0,4318,136,10.0,39.0,40
2020-04-22,4449,37.9,4821,163.0,4449,141,5.0,27.0,37.9
2020-04-23,4593,36.09,4992,171.0,4593,144,3.0,24.0,36.09
2020-04-24,4749,35.01,5166,174.0,4749,146,2.0,16.0,35.01
2020-04-25,4865,32.56,5338,172.0,4865,154,8.0,48.0,32.56
2020-04-26,5041,31.99,5538,200.0,5041,159,5.0,19.0,31.99
2020-04-27,5245,30.9,5779,241.0,5245,165,6.0,31.0,30.9
2020-04-28,5399,26.85,6021,242.0,5399,167,2.0,86.0,26.85
2020-04-29,5540,26.67,6200,179.0,5540,176,9.0,29.0,26.67
2020-04-30,5673,25.25,6378,178.0,5673,178,2.0,43.0,25.25
2020-05-01,5768,24.61,6532,154.0,5768,188,10.0,49.0,24.61
2020-05-02,5906,23.59,6720,188.0,5906,192,4.0,46.0,23.59
2020-05-03,6252,23.51,7090,370.0,6252,197,5.0,19.0,23.51
2020-05-04,6356,23.78,7197,107.0,6356,200,3.0,0.0,23.78
2020-05-05,6458,21.85,7387,190.0,6458,203,3.0,85.0,21.85
2020-05-06,6490,20.33,7523,136.0,6490,210,7.0,97.0,20.33
2020-05-07,6654,20.24,7731,208.0,6654,218,8.0,36.0,20.24
2020-05-08,6757,20.25,7868,137.0,6757,225,7.0,27.0,20.25
2020-05-09,6953,20.68,8070,202.0,6953,231,6.0,0.0,20.68
2020-05-10,3544,5,8282,212.0,3544,237,6.0,3615.0,5
2020-05-11,3517,4.95,8448,166.0,3517,244,7.0,186.0,4.95
2020-05-12,3680,5.04,8616,168.0,3680,249,5.0,0.0,5.04
2020-05-13,2510,4.02,8783,167.0,2510,252,3.0,1334.0,4.02
2020-05-14,2621,4.05,8944,161.0,2621,256,4.0,46.0,4.05
2020-05-15,2778,4.1,9118,174.0,2778,260,4.0,13.0,4.1
2020-05-16,2922,4.19,9268,150.0,2922,266,6.0,0.0,4.19
2020-05-17,3100,4.24,9449,181.0,3100,269,3.0,0.0,4.24
2020-05-18,3250,4.33,9606,157.0,3250,275,6.0,1.0,4.33
2020-05-19,3392,4.34,9867,261.0,3392,281,6.0,113.0,4.34
2020-05-20,3496,4.43,9977,110.0,3496,287,6.0,0.0,4.43
2020-05-21,3580,4.45,10116,139.0,3580,291,4.0,51.0,4.45
2020-05-22,3697,4.49,10267,151.0,3697,295,4.0,30.0,4.49
2020-05-23,3999,4.55,10577,310.0,3999,299,4.0,4.0,4.55
2020-05-24,4341,4.65,10926,349.0,4341,306,7.0,0.0,4.65
2020-05-25,4594,4.7,11183,257.0,4594,310,4.0,0.0,4.7
2020-05-26,4755,4.68,11447,264.0,4755,313,3.0,100.0,4.68
2020-05-27,4034,4.09,11728,281.0,4034,315,2.0,1000.0,4.09
2020-05-28,4432,4.16,12131,403.0,4432,320,5.0,0.0,4.16
2020-05-29,4665,4.14,12531,400.0,4665,326,6.0,161.0,4.14
2020-05-30,3274,3.39,13018,487.0,3274,330,4.0,1874.0,3.39
2020-05-31,3613,3.41,13463,445.0,3613,336,6.0,100.0,3.41
2020-06-01,3979,3.49,13837,374.0,3979,344,8.0,0.0,3.49
2020-06-02,4229,3.57,14095,258.0,4229,352,8.0,0.0,3.57
2020-06-03,4733,3.61,14609,514.0,4733,357,5.0,5.0,3.61
2020-06-04,5062,3.64,15044,435.0,5062,363,6.0,100.0,3.64
2020-06-05,5374,3.67,15463,419.0,5374,370,7.0,100.0,3.67
2020-06-06,5500,3.67,16004,541.0,5500,386,16.0,399.0,3.67
2020-06-07,5814,3.7,16425,421.0,5814,393,7.0,100.0,3.7
2020-06-08,6055,3.69,16854,429.0,6055,398,5.0,183.0,3.69
2020-06-09,6269,3.68,17233,379.0,6269,403,5.0,160.0,3.68
2020-06-10,6499,3.63,17889,656.0,6499,413,10.0,416.0,3.63
2020-06-11,7191,3.67,18586,697.0,7191,418,5.0,0.0,3.67
2020-06-12,5031,2.97,19211,625.0,5031,421,3.0,2782.0,2.97
2020-06-13,5871,3.02,20059,848.0,5871,429,8.0,0.0,3.02
2020-06-14,6483,3.08,20686,627.0,6483,437,8.0,7.0,3.08
2020-06-15,7208,3.15,21422,736.0,7208,448,11.0,0.0,3.15
2020-06-16,7731,3.21,21962,540.0,7731,457,9.0,8.0,3.21
2020-06-17,8353,3.3,22597,635.0,8353,470,13.0,0.0,3.3
2020-06-18,9094,3.33,23351,754.0,9094,475,5.0,8.0,3.33
2020-06-19,9430,3.27,24274,923.0,9430,485,10.0,577.0,3.27
2020-06-20,10370,3.32,25222,948.0,10370,493,8.0,0.0,3.32
2020-06-21,11170,3.37,26030,808.0,11170,501,8.0,0.0,3.37
2020-06-22,11567,3.43,26752,722.0,11567,521,20.0,305.0,3.43
