Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0.0,0,,0,0,,,0.0
2020-02-16,0,0.0,0,,0,0,,0.0,0.0
2020-02-17,0,0.0,0,,0,0,,0.0,0.0
2020-02-18,0,0.0,0,,0,0,,0.0,0.0
2020-02-19,0,0.0,0,,0,0,,0.0,0.0
2020-02-20,0,0.0,0,,0,0,,0.0,0.0
2020-02-21,0,0.0,0,,0,0,,0.0,0.0
2020-02-22,0,0.0,0,,0,0,,0.0,0.0
2020-02-23,0,0.0,0,,0,0,,0.0,0.0
2020-02-24,0,0.0,0,,0,0,,0.0,0.0
2020-02-25,0,0.0,0,,0,0,,0.0,0.0
2020-02-26,0,0.0,0,,0,0,,0.0,0.0
2020-02-27,0,0.0,0,,0,0,,0.0,0.0
2020-02-28,0,0.0,0,,0,0,,0.0,0.0
2020-02-29,0,0.0,0,,0,0,,0.0,0.0
2020-03-01,0,0.0,0,,0,0,,0.0,0.0
2020-03-02,0,0.0,0,,0,0,,0.0,0.0
2020-03-03,0,0.0,0,,0,0,,0.0,0.0
2020-03-04,1,0.0,1,,1,0,,0.0,0.0
2020-03-05,1,0.0,1,0.0,1,0,,0.0,0.0
2020-03-06,5,0.0,5,4.0,5,0,,0.0,0.0
2020-03-07,6,0.0,6,1.0,6,0,,0.0,0.0
2020-03-08,11,0.0,11,5.0,11,0,,0.0,0.0
2020-03-09,17,0.0,17,6.0,17,0,,0.0,0.0
2020-03-10,22,0.0,22,5.0,22,0,,0.0,0.0
2020-03-11,31,0.0,31,9.0,31,0,,0.0,0.0
2020-03-12,50,100.0,51,20.0,50,1,,0.0,100.0
2020-03-13,66,100.0,68,17.0,66,2,1.0,0.0,100.0
2020-03-14,88,18.75,104,36.0,88,3,1.0,13.0,18.75
2020-03-15,109,18.75,125,21.0,109,3,0.0,0.0,18.75
2020-03-16,160,23.53,177,52.0,160,4,1.0,0.0,23.53
2020-03-17,220,27.78,238,61.0,220,5,1.0,0.0,27.78
2020-03-18,269,27.78,287,49.0,269,5,0.0,0.0,27.78
2020-03-19,337,27.78,355,68.0,337,5,0.0,0.0,27.78
2020-03-20,407,27.78,425,70.0,407,5,0.0,0.0,27.78
2020-03-21,518,27.78,536,111.0,518,5,0.0,0.0,27.78
2020-03-22,614,35.0,634,98.0,614,7,2.0,0.0,35.0
2020-03-23,728,38.1,749,115.0,728,8,1.0,0.0,38.1
2020-03-24,890,90.91,901,152.0,890,10,2.0,-12.0,90.91
2020-03-25,1030,66.67,1051,150.0,1030,14,4.0,6.0,66.67
2020-03-26,1198,69.57,1221,170.0,1198,16,2.0,0.0,69.57
2020-03-27,1366,69.57,1389,168.0,1366,16,0.0,0.0,69.57
2020-03-28,1613,72.0,1638,249.0,1613,18,2.0,0.0,72.0
2020-03-29,1833,75.86,1862,224.0,1833,22,4.0,0.0,75.86
2020-03-30,2017,81.58,2055,193.0,2017,31,9.0,0.0,81.58
2020-03-31,2271,82.5,2311,256.0,2271,33,2.0,0.0,82.5
2020-04-01,2455,43.43,2554,243.0,2455,43,10.0,49.0,43.43
2020-04-02,2833,50.44,2946,392.0,2833,57,14.0,0.0,50.44
2020-04-03,3256,55.91,3383,437.0,3256,71,14.0,0.0,55.91
2020-04-04,3432,40.51,3627,244.0,3432,79,8.0,60.0,40.51
2020-04-05,3874,41.23,4102,475.0,3874,94,15.0,18.0,41.23
