Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0.0,0,,0,0,,,0.0
2020-02-16,0,0.0,0,,0,0,,0.0,0.0
2020-02-17,0,0.0,0,,0,0,,0.0,0.0
2020-02-18,0,0.0,0,,0,0,,0.0,0.0
2020-02-19,0,0.0,0,,0,0,,0.0,0.0
2020-02-20,0,0.0,0,,0,0,,0.0,0.0
2020-02-21,0,0.0,0,,0,0,,0.0,0.0
2020-02-22,0,0.0,0,,0,0,,0.0,0.0
2020-02-23,0,0.0,0,,0,0,,0.0,0.0
2020-02-24,0,0.0,0,,0,0,,0.0,0.0
2020-02-25,0,0.0,0,,0,0,,0.0,0.0
2020-02-26,0,0.0,0,,0,0,,0.0,0.0
2020-02-27,0,0.0,0,,0,0,,0.0,0.0
2020-02-28,0,0.0,0,,0,0,,0.0,0.0
2020-02-29,0,0.0,0,,0,0,,0.0,0.0
2020-03-01,0,0.0,0,,0,0,,0.0,0.0
2020-03-02,0,0.0,0,,0,0,,0.0,0.0
2020-03-03,0,0.0,0,,0,0,,0.0,0.0
2020-03-04,0,0.0,0,,0,0,,0.0,0.0
2020-03-05,0,0.0,0,,0,0,,0.0,0.0
2020-03-06,0,0.0,0,,0,0,,0.0,0.0
2020-03-07,0,0.0,0,,0,0,,0.0,0.0
2020-03-08,0,0.0,0,,0,0,,0.0,0.0
2020-03-09,0,0.0,0,,0,0,,0.0,0.0
2020-03-10,3,0.0,3,,3,0,,0.0,0.0
2020-03-11,3,0.0,3,0.0,3,0,,0.0,0.0
2020-03-12,3,0.0,3,0.0,3,0,,0.0,0.0
2020-03-13,14,0.0,14,11.0,14,0,,0.0,0.0
2020-03-14,17,0.0,17,3.0,17,0,,0.0,0.0
2020-03-15,50,0.0,50,33.0,50,0,,0.0,0.0
2020-03-16,129,0.0,129,79.0,129,0,,0.0,0.0
2020-03-17,267,100.0,268,139.0,267,1,,0.0,100.0
2020-03-18,519,100.0,521,253.0,519,2,1.0,0.0,100.0
2020-03-19,974,100.0,978,457.0,974,4,2.0,0.0,100.0
2020-03-20,1815,100.0,1824,846.0,1815,9,5.0,0.0,100.0
2020-03-21,2556,100.0,2577,753.0,2556,21,12.0,0.0,100.0
2020-03-22,3333,100.0,3363,786.0,3333,30,9.0,0.0,100.0
2020-03-23,4123,100.0,4160,797.0,4123,37,7.0,0.0,100.0
2020-03-24,5049,100.0,5093,933.0,5049,44,7.0,0.0,100.0
2020-03-25,6083,11.01,6619,1526.0,6083,59,15.0,477.0,11.01
2020-03-26,8878,7.55,9872,3253.0,8878,75,16.0,442.0,7.55
2020-03-27,13659,5.0,15500,5628.0,13659,92,17.0,830.0,5.0
2020-03-28,17542,4.17,20135,4635.0,17542,108,16.0,736.0,4.17
2020-03-29,21686,3.87,25072,4937.0,21686,131,23.0,770.0,3.87
2020-03-30,25254,4.0,29451,4379.0,25254,168,37.0,774.0,4.0
2020-03-31,31667,4.16,36806,7355.0,31667,214,46.0,896.0,4.16
2020-04-01,35967,4.15,42649,5843.0,35967,277,63.0,1480.0,4.15
2020-04-02,39378,3.58,49329,6680.0,39378,356,79.0,3190.0,3.58
2020-04-03,41338,2.73,56907,7578.0,41338,425,69.0,5549.0,2.73
2020-04-04,44892,2.48,65103,8196.0,44892,501,76.0,4566.0,2.48
2020-04-05,48485,2.28,73630,8527.0,48485,574,73.0,4861.0,2.28
